scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
baseline.linger-sweep,linger0-skip0,common,0,sealed,4096,4096,0,4096,0,8000000,10000000,1599,2540701,9000000,8226012,1,544000000
baseline.linger-sweep,linger0-skip0,original,0,broker-ready,4096,4096,0,4096,0,8000000,9000000,2741,2613649,8000000,7239000,1,506000000
baseline.linger-sweep,linger0-skip0,original,0,sealed,4096,4096,0,4096,0,8000000,9000000,2741,2613649,8000000,7239000,1,506000000
baseline.linger-sweep,linger0-skip1,common,0,broker-ready,4096,4096,0,4096,0,8000000,10000000,1601,2541141,9000000,8226012,1,544000000
baseline.linger-sweep,linger0-skip1,common,0,sealed,4096,4096,0,4096,0,8000000,10000000,1599,2540701,9000000,8226012,1,544000000
baseline.linger-sweep,linger0-skip1,original,0,broker-ready,4096,4096,0,4096,0,8000000,9000000,2741,2613649,8000000,7239000,1,506000000
baseline.linger-sweep,linger0-skip1,original,0,sealed,4096,4096,0,4096,0,8000000,9000000,2741,2613649,8000000,7239000,1,506000000
baseline.linger-sweep,linger1-skip0,common,0,broker-ready,4096,4096,0,4096,0,6000000,9000000,1481,2508145,9000000,6821001,1,521000000
baseline.linger-sweep,linger1-skip0,common,0,sealed,4096,4096,0,4096,0,5000000,9000000,1222,2484202,9000000,6821001,1,441000000
baseline.linger-sweep,linger1-skip0,original,0,broker-ready,4096,4096,0,4096,0,3000000,8000000,1459,2462328,8000000,5820000,1,390000000
baseline.linger-sweep,linger1-skip0,original,0,sealed,4096,4096,0,4096,0,3000000,8000000,1459,2462328,8000000,5820000,1,390000000
baseline.linger-sweep,linger1-skip1,common,0,broker-ready,4096,4096,0,4096,0,6000000,9000000,1481,2508145,9000000,6821001,1,521000000
baseline.linger-sweep,linger1-skip1,common,0,sealed,4096,4096,0,4096,0,5000000,9000000,1222,2484202,9000000,6821001,1,441000000
baseline.linger-sweep,linger1-skip1,original,0,broker-ready,4096,4096,0,4096,0,8000000,9000000,2793,2619830,8000000,7239000,1,519000000
baseline.linger-sweep,linger1-skip1,original,0,sealed,4096,4096,0,4096,0,8000000,9000000,2793,2619830,8000000,7239000,1,519000000
