scenario,variant,profile,size,seed,adapter,offered,accepted,refused,acked,failed,duration_ns,ack_p50_ns,ack_p99_ns,ack_max_ns,failed_max_ns,first_observation_wait_p99_ns,first_observation_wait_max_ns,broker_attempts_max,broker_record_observations,attempted_records,produce_requests,wire_bytes,request_records_p50,global_pending_gap_ns,partition_pending_gap_ns,gap_partition,gap_end_kind,deadline_overshoot_count,sender_errors,max_source_lag_ns,fault_exposure_comparable,last_offer_ns,last_terminal_ns,source_offer_gap_max_ns
baseline.open-loop-rate,rate2000,original,full,0,native,40000,40000,0,40000,0,20006000000,5000000,6500000,7500000,,5203000,5819000,1,40000,40000,16874,24360364,2,7500000,7500000,5,ack,0,0,0,True,19999500000,20006000000,500000
baseline.open-loop-rate,rate2000,common,full,0,classic,40000,39980,20,39980,0,20006212000,4404000,6404000,10407000,,5202000,9205000,1,39980,39980,9995,24108988,4,9905000,10407000,4,ack,0,0,0,True,19999500000,20006212000,500000
baseline.open-loop-rate,rate2000,common,full,0,native,40000,40000,0,40000,0,20006000000,5500000,7000000,7500000,,5705001,5818001,1,40000,40000,16874,24360247,2,7500000,7500000,5,ack,0,0,0,True,19999500000,20006000000,500000
baseline.open-loop-rate,rate8000,original,full,0,classic,160000,159917,83,159917,0,20004683000,3154000,6279000,8712000,,5077000,7510000,1,159917,159917,15242,92394547,11,7837000,8712000,2,ack,0,0,0,True,19999875000,20004683000,125000
baseline.open-loop-rate,rate8000,original,full,0,native,160000,160000,0,160000,0,20006000000,3750000,6500000,7375000,,5203000,5820000,1,160000,160000,23437,92214798,7,7125000,7125000,5,ack,0,0,0,True,19999875000,20006000000,125000
baseline.open-loop-rate,rate8000,common,full,0,classic,160000,159917,83,159917,0,20004683000,3154000,6279000,8712000,,5077000,7510000,1,159917,159917,15242,92394547,11,7837000,8712000,2,ack,0,0,0,True,19999875000,20004683000,125000
baseline.open-loop-rate,rate8000,common,full,0,native,160000,160000,0,160000,0,20006000000,4000000,6875000,7625000,,5580001,6196001,1,160000,160000,23437,92214681,7,7125000,7500000,4,ack,0,0,0,True,19999875000,20006000000,125000
baseline.open-loop-rate,rate32000,original,full,0,classic,640000,623082,16918,623082,0,21048500000,2810250,1046625250,1050708750,,1045423250,1049506750,1,623082,623082,51743,358428032,12,4993250,5712000,2,ack,0,0,0,True,19999968750,21048500000,31250
baseline.open-loop-rate,rate32000,original,full,0,native,640000,509644,130356,509644,0,20007000000,2156250,4968750,7125000,,3766500,5820000,1,509644,509644,63736,292458331,8,7031250,7031250,5,ack,0,0,0,True,19999968750,20007000000,31250
baseline.open-loop-rate,rate32000,common,full,0,classic,640000,623082,16918,623082,0,21048500000,2810250,1046625250,1050708750,,1045423250,1049506750,1,623082,623082,51743,358428032,12,4993250,5712000,2,ack,0,0,0,True,19999968750,21048500000,31250
baseline.open-loop-rate,rate32000,common,full,0,native,640000,360513,279487,360513,0,20007000000,3406250,6250000,7875000,,5045751,6664751,1,360513,360513,43913,206790017,8,7031250,7875000,4,ack,0,0,0,True,19999968750,20007000000,31250
baseline.linger-sweep,linger0-skip0,original,full,0,classic,4096,4096,0,4096,0,419424000,3009000,4012000,5215000,,2810000,4013000,1,4096,4096,1209,2502435,3,4212000,4212000,0,ack,0,0,0,True,415813000,419424000,10000000
baseline.linger-sweep,linger0-skip0,original,full,0,native,4096,4096,0,4096,0,506000000,4000000,8000000,9000000,,5819000,7239000,1,4096,4096,2741,2613649,1,8000000,8000000,0,ack,0,0,0,True,501000000,506000000,8000000
baseline.linger-sweep,linger0-skip0,common,full,0,classic,4096,4096,0,4096,0,419424000,3009000,4012000,5215000,,2810000,4013000,1,4096,4096,1209,2502435,3,4212000,4212000,0,ack,0,0,0,True,415813000,419424000,10000000
baseline.linger-sweep,linger0-skip0,common,full,0,native,4096,4096,0,4096,0,544000000,4000000,8000000,10000000,,5818001,8226012,1,4096,4096,1599,2540701,2,8000000,9000000,2,ack,0,0,0,True,538000000,544000000,8000000
baseline.linger-sweep,linger0-skip1,original,full,0,classic,4096,4096,0,4096,0,419424000,3009000,4012000,5215000,,2810000,4013000,1,4096,4096,1209,2502435,3,4212000,4212000,0,ack,0,0,0,True,415813000,419424000,10000000
baseline.linger-sweep,linger0-skip1,original,full,0,native,4096,4096,0,4096,0,506000000,4000000,8000000,9000000,,5819000,7239000,1,4096,4096,2741,2613649,1,8000000,8000000,0,ack,0,0,0,True,501000000,506000000,8000000
baseline.linger-sweep,linger0-skip1,common,full,0,classic,4096,4096,0,4096,0,419424000,3009000,4012000,5215000,,2810000,4013000,1,4096,4096,1209,2502435,3,4212000,4212000,0,ack,0,0,0,True,415813000,419424000,10000000
baseline.linger-sweep,linger0-skip1,common,full,0,native,4096,4096,0,4096,0,544000000,4000000,8000000,10000000,,5818001,8226012,1,4096,4096,1599,2540701,2,8000000,9000000,2,ack,0,0,0,True,538000000,544000000,8000000
baseline.linger-sweep,linger1-skip0,original,full,0,classic,4096,4096,0,4096,0,282171000,2006000,3611000,5215000,,2409000,4013000,1,4096,4096,754,2430261,5,4212000,5215000,0,ack,0,0,0,True,280165000,282171000,10000000
baseline.linger-sweep,linger1-skip0,original,full,0,native,4096,4096,0,4096,0,390000000,3000000,3000000,8000000,,1215000,5820000,1,4096,4096,1459,2462328,2,8000000,8000000,0,ack,0,0,0,True,387000000,390000000,8000000
baseline.linger-sweep,linger1-skip0,common,full,0,classic,4096,4096,0,4096,0,282171000,2006000,3611000,5215000,,2409000,4013000,1,4096,4096,754,2430261,5,4212000,5215000,0,ack,0,0,0,True,280165000,282171000,10000000
baseline.linger-sweep,linger1-skip0,common,full,0,native,4096,4096,0,4096,0,441000000,3000000,5000000,9000000,,3445001,6821001,1,4096,4096,1222,2484202,3,8000000,9000000,2,ack,0,0,0,True,437000000,441000000,8000000
baseline.linger-sweep,linger1-skip1,original,full,0,classic,4096,4096,0,4096,0,282171000,2006000,3611000,5215000,,2409000,4013000,1,4096,4096,754,2430261,5,4212000,5215000,0,ack,0,0,0,True,280165000,282171000,10000000
baseline.linger-sweep,linger1-skip1,original,full,0,native,4096,4096,0,4096,0,519000000,4000000,8000000,9000000,,5819000,7239000,1,4096,4096,2793,2619830,1,8000000,8000000,0,ack,0,0,0,True,513000000,519000000,8000000
baseline.linger-sweep,linger1-skip1,common,full,0,classic,4096,4096,0,4096,0,282171000,2006000,3611000,5215000,,2409000,4013000,1,4096,4096,754,2430261,5,4212000,5215000,0,ack,0,0,0,True,280165000,282171000,10000000
baseline.linger-sweep,linger1-skip1,common,full,0,native,4096,4096,0,4096,0,441000000,3000000,5000000,9000000,,3445001,6821001,1,4096,4096,1222,2484202,3,8000000,9000000,2,ack,0,0,0,True,437000000,441000000,8000000
baseline.linger-sweep,linger5-skip0,original,full,0,classic,4096,4096,0,4096,0,400803000,2808000,6618000,8425000,,5415000,7223000,1,4096,4096,352,2359422,12,4404000,8425000,0,ack,0,0,0,True,394995000,400803000,10000000
baseline.linger-sweep,linger5-skip0,original,full,0,native,4096,4096,0,4096,0,598000000,5000000,7000000,8000000,,5203000,5820000,1,4096,4096,681,2370614,6,8000000,8000000,0,ack,0,0,0,True,591000000,598000000,8000000
baseline.linger-sweep,linger5-skip0,common,full,0,classic,4096,4096,0,4096,0,400803000,2808000,6618000,8425000,,5415000,7223000,1,4096,4096,352,2359422,12,4404000,8425000,0,ack,0,0,0,True,394995000,400803000,10000000
